"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G30135",2119.63568054279,-5.20861453084002,0.295290084269493,-17.6389753950777,1.23683287016726e-69,1.4833336611916e-65
"AT2G27690",2980.03797473197,-5.11869070651292,0.289606304045217,-17.6746522261951,6.57445767768346e-70,1.4833336611916e-65
"AT2G39420",5186.66161738358,-3.23914729110638,0.188747442660085,-17.1612777659709,5.17621878984571e-66,4.13855946310797e-62
"AT1G72450",11513.6854024882,-2.27266229558946,0.137242824853212,-16.5594252232871,1.36895531162057e-61,8.20894052613274e-58
"AT1G24100",6359.44595569426,-1.37860003089572,0.0859141445661988,-16.0462521958008,6.07217708333514e-58,2.91294479041753e-54
"AT1G19180",18483.0969510736,-3.25567952249549,0.21018125938839,-15.4898658994111,4.06136717975136e-54,1.6235992195586e-50
"AT5G05600",45271.4727660848,-3.29982551947989,0.220842330472063,-14.9419973626719,1.75630980124679e-50,6.01812098467222e-47
"AT1G17380",3605.92323716303,-3.71524504112616,0.253885244822523,-14.6335603068358,1.71569016114876e-48,5.14406802566428e-45
"AT1G17750",706.999138860663,-2.77125343292394,0.190569836912984,-14.5419310726981,6.57124271906171e-48,1.75130919843794e-44
"AT1G70700",23886.9994036945,-2.73988261138348,0.190612736151232,-14.3740794382683,7.52641546762415e-47,1.80528601406433e-43
"AT5G60300",2762.13036822432,-2.86748394609071,0.208625581936157,-13.744642049546,5.48436292147593e-43,1.1958902639502e-39
"AT4G24110",1062.47616280663,-2.23432032761034,0.165148339786302,-13.5291722005895,1.05201601533816e-41,2.10280467865843e-38
"AT3G22890",83725.5109888211,-1.62693081892999,0.120725270792308,-13.4763070586019,2.15632615081239e-41,3.97858761949122e-38
"AT3G25780",2019.90751826895,-3.225383868117,0.241080471330714,-13.3788682688131,8.03616597897118e-41,1.37682483694002e-37
"AT1G20510",9174.01533039527,-2.39126702911741,0.180914038118251,-13.2176974987115,6.93546403591935e-40,1.10902693577041e-36
"AT1G11185",30.1386019279264,-3.32742976616687,0.253579208856951,-13.1218556172874,2.46816480262266e-39,3.70008755973169e-36
"AT2G27660",2248.47794619202,-2.09790817313409,0.160823323381714,-13.0448005240801,6.80348265904917e-39,9.59931382705608e-36
"AT3G43250",564.911593371284,-4.1026014746441,0.319200862135426,-12.8527267977851,8.30309693716465e-38,1.07544713407262e-34
"AT2G46650",5606.43488067375,-1.89215378646767,0.147240820611502,-12.8507419247558,8.51892585148827e-38,1.07544713407262e-34
"AT3G50310",417.530204807304,-3.00809507911099,0.237849527230283,-12.6470509070997,1.16153500566839e-36,1.3930289322981e-33
"AT2G48010",1192.49781132331,-1.44423717340056,0.11433072254366,-12.6321004649388,1.40477636573082e-36,1.60452218611521e-33
"AT4G39940",11236.8748451387,-2.05130327099234,0.163782759007293,-12.5245372799038,5.48100703418528e-36,5.97579248736219e-33
"AT4G24350",11801.1011559533,-3.68453168730288,0.297182177917193,-12.3982256039914,2.67174422322251e-35,2.78628073644414e-32
"AT5G26600",4774.25211530258,-1.22910906250779,0.0994442625149936,-12.3597785475303,4.31343372824342e-35,4.31091755856861e-32
"AT1G74100",13810.9465284895,-2.01571873948206,0.163784032116801,-12.3071749634578,8.28734912484862e-35,7.95121424434476e-32
"AT1G74950",5655.38675040495,-2.52032314002962,0.207469365234361,-12.1479291035697,5.8837077632206e-34,5.42794670802344e-31
"AT5G05730",21401.6777272668,-2.69501985963631,0.227940843313003,-11.8233302135132,2.95724574399286e-32,2.62712949686714e-29
"AT2G15760",1459.22750220762,-3.04250231733644,0.259857489747452,-11.7083495276329,1.15506166984369e-31,9.89475329031095e-29
"AT1G77885",412.255670164928,-2.2190419934753,0.189684108497521,-11.6986183558139,1.29545515692582e-31,1.07147542738009e-28
"AT5G43170",224.355663725023,-1.4038304674055,0.126782250419044,-11.0727681735064,1.70064696883591e-28,1.35972393981661e-25
"AT4G26700",2991.79953411898,0.448928068046051,0.0410185814974469,10.9445049452525,7.06023602694745e-28,5.46280068846327e-25
"AT2G38240",68433.0537478122,-5.0694906511709,0.466550893755391,-10.8658899147427,1.67581290443875e-27,1.25612651018337e-24
"AT1G53885",57.748004542163,-4.9233716821888,0.454101142736562,-10.8420156190732,2.17622687786803e-27,1.58178720886492e-24
"AT3G54640",31244.8787775943,-2.35559413311231,0.217878594457767,-10.8114986650004,3.03667977480105e-27,2.14228826701112e-24
"AT4G39950",22168.3101521592,-3.04706568579537,0.283527532818418,-10.7469833899582,6.12315046731208e-27,4.19628248882707e-24
"AT1G43160",9342.15737147107,-4.25321846098832,0.396272824017114,-10.733056125001,7.12016602429403e-27,4.74400839607546e-24
"AT4G34210",292.561502497217,-3.56542222154244,0.332831223823663,-10.7124030629754,8.90205554726082e-27,5.77093795558373e-24
"AT5G64700",316.507994175299,-1.77811642296013,0.166553426451579,-10.675952220515,1.31898199585744e-26,8.32555319806223e-24
"AT5G36907",617.921282524115,-6.07338722989206,0.572190427251296,-10.6142761930981,2.55768975269732e-26,1.57304477969738e-23
"AT5G17490",345.435441411396,-2.71275686694611,0.257295649005609,-10.5433452817034,5.45241875814023e-26,3.26954290831879e-23
"AT4G13395",1061.1845392813,-2.31328083686174,0.219715689865007,-10.5285190979443,6.38307467999697e-26,3.73425437254652e-23
"AT2G20610",10324.8122574539,-1.11244427411158,0.105884897367121,-10.5061656739823,8.09168594811289e-26,4.62112331312942e-23
"AT3G46280",5533.77531599037,-2.80953173353713,0.268022751703764,-10.482437463527,1.04027464129462e-25,5.8027971037425e-23
"AT3G15500",5589.39435023742,-2.94238645894341,0.281367042419509,-10.45746663732,1.35428204387493e-25,7.38268388735999e-23
"AT5G47910",9530.6031780096,-1.57113019958899,0.15114361060469,-10.3949495006985,2.61425389023092e-25,1.3631629089365e-22
"AT2G06050",10486.1828178728,-2.28503700901743,0.219791704648724,-10.3963751164741,2.57544879859724e-25,1.3631629089365e-22
"AT5G59700",956.236963509073,-1.22715074441826,0.118087766704266,-10.3918532686919,2.70053998342307e-25,1.37819472430608e-22
"AT2G31230",1062.59491203883,-1.94581242600781,0.187369561374975,-10.3848907566888,2.9050170272779e-25,1.45166121700599e-22
"AT5G13760",2208.51154301037,-1.4257482236357,0.137379169254321,-10.3781980293993,3.11600997551544e-25,1.52531867903497e-22
"AT5G55120",7193.43185051056,-1.91315140253894,0.18460061332664,-10.3637326445592,3.62532276929794e-25,1.73913983888761e-22
"AT1G23850",625.005382381328,-4.21547602021094,0.408141087631807,-10.328477450459,5.23854593663279e-25,2.4637600556093e-22
"AT4G34200",90825.7462940361,-2.41196685304061,0.234595739359605,-10.2813753550033,8.5498705379187e-25,3.94379220620227e-22
